Row.names,seqnames,HIL_CpG_class,Closest_TSS_gene_name
cg10255237,chr12,LC,LOC338758
cg12036633,chr15,LC,USP3
cg08141395,chr11,LC,MIR1260B
cg17415265,chr17,IC,RGS9
cg09287864,chr7,LC,AHR
cg09908110,chr11,HC,FLRT1
cg22727783,chr5,ICshore,FAM105A
cg16807089,chr7,IC,FAM115A
cg15507690,chr3,LC,TBL1XR1
cg21941030,chr19,HC,RCN3
cg22881914,chr14,ICshore,NID2
cg21565960,chr11,IC,BC132896
cg15928106,chr7,IC,LOC646329
cg06051311,chr6,LC,TRIM15
cg15083233,chr9,IC,AKAP2
cg07127888,chr8,IC,GINS4
cg19974227,chr4,IC,RGS12
cg07388969,chr15,LC,BC037952
cg02734358,chr4,LC,GPRIN3
cg06454760,chr19,HC,ZNF135
cg04456219,chr7,LC,AHR
cg03807298,chr5,HC,MSX2
cg18103859,chr14,ICshore,SIX1
cg24994127,chr20,IC,RALGAPA2
cg05098566,chr6,IC,PPP1R18
cg07078958,chr3,IC,AL133111
cg03103218,chr11,HC,FLRT1
cg10025586,chr15,LC,AK130329
cg05639246,chr6,LC,LOC100130275
cg17239236,chr7,HC,CALN1
cg10020892,chr1,LC,BCL9
cg22164298,chr4,LC,ANK2
cg20393620,chr6,LC,SGK1
cg20228731,chr7,IC,LOC646329
cg14654171,chr9,LC,SLC2A8
cg08773462,chr16,IC,AX747757
cg24722577,chr5,LC,F2R
cg20475322,chr11,IC,BC089451
cg04987071,chr16,LC,CREBBP
cg04386400,chr6,HC,LY6G5C
cg24158259,chr11,LC,MPEG1
cg20765408,chr13,IC,PARP4
cg01719405,chr14,LC,SYT16
cg18440692,chr10,LC,LHPP
cg12002589,chr9,IC,LHX2
cg07519235,chr16,ICshore,GPRC5B
cg01303372,chr10,LC,BAG3
cg15319576,chr11,LC,ETS1
cg12526997,chr2,IC,BC101234
cg25025181,chr1,LC,SMYD3
cg18442362,chr7,LC,OGDH
cg00806644,chr10,LC,CTBP2
cg00995986,chr2,LC,MEIS1
cg13096701,chr4,LC,RAPGEF2
cg12480053,chr13,IC,DAOA
cg03604774,chr1,IC,AHDC1
cg23507945,chr6,LC,IL22RA2
cg01413054,chr2,LC,CAB39
cg03315407,chr5,LC,MIR4637
cg14731462,chr10,IC,PTPRE
cg21340500,chr8,HC,ZBTB10
cg12697139,chr1,LC,MIR205HG
cg03892356,chr12,IC,HOXC6
cg21775245,chr3,IC,TMCC1
cg16888658,chr2,ICshore,ADCY3
cg04540383,chr3,HC,RASSF1
cg17516247,chr1,LC,RABGAP1L
cg03961010,chr10,LC,ZNF365
cg01799671,chr16,LC,CMIP
cg26799474,chr2,LC,CASP8
cg17987112,chr5,HC,MSX2
cg04319611,chr3,LC,FNDC3B
cg05109049,chr17,LC,EVI2B
cg02164574,chr2,LC,HOXD9
cg13775050,chr11,LC,CARD16
cg02381279,chr19,IC,KLF2
cg01901262,chr16,HC,IRX5
cg11201447,chr8,LC,MIR1204
cg13427361,chr4,LC,FAT1
cg13620034,chr8,HC,LOC100132891
cg00430542,chr16,ICshore,ZFHX3
cg17797591,chr17,ICshore,AXIN2
cg08382226,chr6,HC,AF520419
cg17807172,chr5,IC,CEP120
cg20095609,chr13,LC,DCT
cg03064067,chr12,HC,SLC6A15
cg16327891,chr13,HC,EPSTI1
cg18566883,chr21,LC,DYRK1A
cg02389040,chr6,HC,LY6G5C
cg10933959,chr15,ICshore,FLJ42289
cg23972738,chr2,ICshore,MEIS1
cg02225720,chr17,LC,ITGAE
cg23720395,chr3,LC,NPCR
cg16304656,chr7,IC,PRKAR1B
cg01979888,chr12,ICshore,IFFO1
